step,controller,intersection,queue
0,fixed_time,n0_0,0.0
0,fixed_time,n0_1,0.0
0,fixed_time,n0_2,5.0
0,fixed_time,n0_3,0.0
0,fixed_time,n1_0,2.0
0,fixed_time,n1_1,27.0
0,fixed_time,n1_2,5.666666666666666
0,fixed_time,n1_3,3.0
0,fixed_time,n2_0,0.0
0,fixed_time,n2_1,27.666666666666664
0,fixed_time,n2_2,20.0
0,fixed_time,n2_3,0.0
0,fixed_time,n3_0,0.0
0,fixed_time,n3_1,0.0
0,fixed_time,n3_2,3.6666666666666665
0,fixed_time,n3_3,0.0
1,fixed_time,n0_0,0.0
1,fixed_time,n0_1,2.6666666666666665
1,fixed_time,n0_2,5.333333333333333
1,fixed_time,n0_3,0.0
1,fixed_time,n1_0,9.0
1,fixed_time,n1_1,39.22222222222222
1,fixed_time,n1_2,13.333333333333332
1,fixed_time,n1_3,5.666666666666666
1,fixed_time,n2_0,1.8888888888888888
1,fixed_time,n2_1,62.0
1,fixed_time,n2_2,32.666666666666664
1,fixed_time,n2_3,2.6666666666666665
1,fixed_time,n3_0,0.0
1,fixed_time,n3_1,1.8888888888888888
1,fixed_time,n3_2,6.0
1,fixed_time,n3_3,0.0
2,fixed_time,n0_0,0.0
2,fixed_time,n0_1,2.6666666666666665
2,fixed_time,n0_2,4.666666666666666
2,fixed_time,n0_3,0.0
2,fixed_time,n1_0,13.0
2,fixed_time,n1_1,59.888888888888886
2,fixed_time,n1_2,19.666666666666668
2,fixed_time,n1_3,7.666666666666666
2,fixed_time,n2_0,6.222222222222221
2,fixed_time,n2_1,84.66666666666666
2,fixed_time,n2_2,44.666666666666664
2,fixed_time,n2_3,5.333333333333333
2,fixed_time,n3_0,0.0
2,fixed_time,n3_1,4.333333333333333
2,fixed_time,n3_2,7.666666666666666
2,fixed_time,n3_3,0.0
3,fixed_time,n0_0,0.0
3,fixed_time,n0_1,2.222222222222222
3,fixed_time,n0_2,2.333333333333334
3,fixed_time,n0_3,0.0
3,fixed_time,n1_0,17.555555555555557
3,fixed_time,n1_1,75.1111111111111
3,fixed_time,n1_2,26.333333333333332
3,fixed_time,n1_3,9.666666666666666
3,fixed_time,n2_0,10.11111111111111
3,fixed_time,n2_1,108.11111111111111
3,fixed_time,n2_2,55.66666666666667
3,fixed_time,n2_3,7.555555555555555
3,fixed_time,n3_0,0.0
3,fixed_time,n3_1,3.888888888888889
3,fixed_time,n3_2,6.555555555555555
3,fixed_time,n3_3,0.0
4,fixed_time,n0_0,0.0
4,fixed_time,n0_1,1.4444444444444446
4,fixed_time,n0_2,5.666666666666666
4,fixed_time,n0_3,0.0
4,fixed_time,n1_0,20.666666666666668
4,fixed_time,n1_1,97.96296296296296
4,fixed_time,n1_2,33.33333333333333
4,fixed_time,n1_3,15.0
4,fixed_time,n2_0,13.814814814814815
4,fixed_time,n2_1,134.88888888888889
4,fixed_time,n2_2,78.85185185185185
4,fixed_time,n2_3,9.0
4,fixed_time,n3_0,0.0
4,fixed_time,n3_1,3.7037037037037037
4,fixed_time,n3_2,6.777777777777778
4,fixed_time,n3_3,0.0
5,fixed_time,n0_0,0.0
5,fixed_time,n0_1,3.6666666666666665
5,fixed_time,n0_2,4.666666666666666
5,fixed_time,n0_3,0.0
5,fixed_time,n1_0,28.333333333333336
5,fixed_time,n1_1,98.22222222222223
5,fixed_time,n1_2,40.666666666666664
5,fixed_time,n1_3,18.333333333333332
5,fixed_time,n2_0,17.11111111111111
5,fixed_time,n2_1,170.66666666666669
5,fixed_time,n2_2,85.88888888888889
5,fixed_time,n2_3,12.666666666666666
5,fixed_time,n3_0,0.0
5,fixed_time,n3_1,3.2962962962962967
5,fixed_time,n3_2,7.0
5,fixed_time,n3_3,0.0
6,fixed_time,n0_0,0.0
6,fixed_time,n0_1,2.666666666666666
6,fixed_time,n0_2,4.333333333333334
6,fixed_time,n0_3,0.0
6,fixed_time,n1_0,34.66666666666667
6,fixed_time,n1_1,101.8888888888889
6,fixed_time,n1_2,48.0
6,fixed_time,n1_3,23.333333333333332
6,fixed_time,n2_0,22.0
6,fixed_time,n2_1,172.66666666666666
6,fixed_time,n2_2,98.77777777777777
6,fixed_time,n2_3,15.333333333333332
6,fixed_time,n3_0,0.0
6,fixed_time,n3_1,4.888888888888889
6,fixed_time,n3_2,6.333333333333332
6,fixed_time,n3_3,0.0
7,fixed_time,n0_0,0.0
