step,total_queue,delay,throughput,controller
0,94.0,94.0,0.0,fixed_time
1,182.33333333333334,276.33333333333337,8.666666666666666,fixed_time
2,260.44444444444446,536.7777777777778,24.555555555555557,fixed_time
3,325.1111111111111,861.8888888888889,43.888888888888886,fixed_time
4,421.1111111111111,1283.0,58.888888888888886,fixed_time
5,490.51851851851853,1773.5185185185185,76.48148148148148,fixed_time
6,534.8888888888889,2308.4074074074074,95.11111111111111,fixed_time
7,566.6666666666667,2875.074074074074,113.33333333333334,fixed_time
8,524.2222222222223,3399.296296296296,203.77777777777777,fixed_time
9,552.7037037037037,3952.0,266.2962962962963,fixed_time
10,619.7901234567902,4571.79012345679,304.2098765432099,fixed_time
11,678.2345679012345,5250.024691358024,339.7654320987654,fixed_time
12,734.6790123456789,5984.703703703703,375.32098765432096,fixed_time
13,780.4567901234567,6765.160493827159,407.5432098765432,fixed_time
14,835.3456790123457,7600.506172839505,433.6543209876543,fixed_time
15,863.0123456790124,8463.518518518516,455.9876543209876,fixed_time
16,815.0123456790124,9278.530864197528,551.9876543209875,fixed_time
17,812.0123456790124,10090.54320987654,647.9876543209875,fixed_time
18,823.0123456790124,10913.555555555551,743.9876543209875,fixed_time
19,824.2716049382718,11737.827160493824,837.7283950617283,fixed_time
20,835.8641975308641,12573.691358024687,909.0246913580246,fixed_time
21,860.5185185185186,13434.209876543206,952.3703703703703,fixed_time
22,887.8038408779147,14322.01371742112,985.0850480109739,fixed_time
23,920.1929583904894,15242.206675811609,1013.6959304983995,fixed_time
24,875.1929583904894,16117.399634202098,1109.6959304983995,fixed_time
25,864.1929583904894,16981.592592592588,1205.6959304983995,fixed_time
26,877.1929583904893,17858.785550983077,1301.6959304983995,fixed_time
27,855.1929583904893,18713.978509373566,1397.6959304983995,fixed_time
28,861.9954275262917,19575.973936899856,1474.893461362597,fixed_time
29,894.0960219478739,20470.06995884773,1520.6817558299038,fixed_time
30,915.7221460143271,21385.792104862056,1553.0556317634505,fixed_time
31,942.5975207031448,22328.3896255652,1581.1802570746327,fixed_time
32,890.5975207031449,23218.987146268344,1677.1802570746327,fixed_time
33,885.5975207031449,24104.58466697149,1773.1802570746327,fixed_time
